date,spx_price,spx_vol,vix,cor1m
2024-12-31,5881.63,572261478.0,17.35,14.2
2024-12-30,5906.94,576929037.0,17.4,14.56
2024-12-27,5970.84,584265430.0,15.95,11.84
2024-12-26,6037.59,438611805.0,14.73,9.41
2024-12-24,6040.04,329662275.0,14.27,10.4
2024-12-23,5974.07,690933980.0,16.78,15.53
2024-12-20,5930.85,3034387295.0,18.36,19.24
2024-12-19,5867.08,966551863.0,24.09,23.32
2024-12-18,5872.16,1043959243.0,27.62,27.82
2024-12-17,6050.61,935360900.0,15.87,9.74
2024-12-16,6074.08,911382911.0,14.69,8.46
2024-12-13,6051.09,691898265.0,13.81,8.17
2024-12-12,6051.25,669691594.0,13.92,9.16
2024-12-11,6084.19,842097625.0,13.58,8.24
2024-12-10,6034.91,789557678.0,14.18,9.94
2024-12-09,6052.85,798756208.0,14.19,10.07
2024-12-06,6090.27,707288187.0,12.77,8.27
2024-12-05,6075.11,735110292.0,13.54,10.25
2024-12-04,6086.49,731646430.0,13.45,10.79
2024-12-03,6049.88,726080415.0,13.3,11.05
2024-12-02,6047.15,765575016.0,13.34,10.73
2024-11-29,6032.38,467848822.0,13.51,11.25
2024-11-27,5998.74,628434018.0,14.1,13.31
2024-11-26,6021.63,679892134.0,14.1,12.37
2024-11-25,5987.37,1546546652.0,14.6,12.14
2024-11-22,5969.34,676068175.0,15.24,13.11
2024-11-21,5948.71,744444386.0,16.87,16.41
2024-11-20,5917.11,697028512.0,17.16,14.01
2024-11-19,5916.98,720146144.0,16.35,13.47
2024-11-18,5893.62,755979873.0,15.58,12.12
2024-11-15,5870.62,963460879.0,16.14,10.54
2024-11-14,5949.17,703353805.0,14.31,9.1
2024-11-13,5985.38,703564654.0,14.02,8.83
2024-11-12,5983.99,709651946.0,14.71,9.96
2024-11-11,6001.35,706424011.0,14.97,10.85
2024-11-08,5995.54,763150574.0,14.94,11.64
2024-11-07,5973.1,847614740.0,15.2,12.76
2024-11-06,5929.04,1103819392.0,16.27,13.74
2024-11-05,5782.76,635417134.0,20.49,21.83
2024-11-04,5712.69,666460983.0,21.98,25.36
2024-11-01,5728.8,703619861.0,21.88,25.05
2024-10-31,5705.45,1020509730.0,23.16,22.18
2024-10-30,5813.67,806219575.0,20.35,16.57
2024-10-29,5832.92,675727611.0,19.34,13.83
2024-10-28,5823.52,595852293.0,19.8,14.6
2024-10-25,5808.12,627216172.0,20.33,15.08
2024-10-24,5809.86,650947189.0,19.08,13.23
2024-10-23,5797.42,650565591.0,19.24,13.94
2024-10-22,5851.2,601620948.0,18.2,12.41
2024-10-21,5853.98,589025601.0,18.37,12.15
2024-10-18,5864.67,702023493.0,18.03,12.94
2024-10-17,5841.47,647571141.0,19.11,13.39
2024-10-16,5842.47,620797852.0,19.58,15.77
2024-10-15,5815.26,787858699.0,20.64,17.34
2024-10-14,5859.85,549262136.0,19.7,16.65
2024-10-11,5815.03,605684238.0,20.46,16.96
2024-10-10,5780.05,562858168.0,20.93,16.92
2024-10-09,5792.04,613680656.0,20.86,17.6
2024-10-08,5751.13,611810958.0,21.42,18.61
2024-10-07,5695.94,645340786.0,22.64,20.45
2024-10-04,5751.07,601098252.0,19.21,11.24
2024-10-03,5699.94,613910043.0,20.49,14.55
2024-10-02,5709.54,616359349.0,18.9,13.85
2024-10-01,5708.75,739347969.0,19.26,14.68
2024-09-30,5762.48,882426660.0,16.73,10.92
2024-09-27,5738.17,662752996.0,16.96,12.36
2024-09-26,5745.37,764248641.0,15.37,10.82
2024-09-25,5722.26,697400878.0,15.41,12.22
2024-09-24,5732.93,773105011.0,15.39,12.47
2024-09-23,5718.57,748070094.0,15.89,14.41
2024-09-20,5702.55,2834896116.0,16.15,15.4
2024-09-19,5713.64,841530507.0,16.33,15.92
2024-09-18,5618.26,696088958.0,18.23,20.37
2024-09-17,5634.58,620476005.0,17.61,19.07
2024-09-16,5633.09,597981853.0,17.14,18.31
2024-09-13,5626.02,575281052.0,16.56,17.55
2024-09-12,5595.76,694797208.0,17.07,18.58
2024-09-11,5554.13,781216307.0,17.69,21.25
2024-09-10,5495.52,666298334.0,19.08,25.43
2024-09-09,5471.05,728471856.0,19.45,25.43
2024-09-06,5408.42,822499789.0,22.38,29.29
2024-09-05,5503.41,659571094.0,19.9,23.82
2024-09-04,5520.07,701149272.0,21.32,26.31
2024-09-03,5528.93,850990993.0,20.72,22.41
2024-08-30,5648.4,1028584944.0,15.0,13.73
2024-08-29,5591.96,617833262.0,15.65,14.14
2024-08-28,5592.18,594378722.0,17.11,11.57
2024-08-27,5625.8,529462345.0,15.43,8.61
2024-08-26,5616.84,532657706.0,16.15,8.76
2024-08-23,5634.61,613113093.0,15.86,9.49
2024-08-22,5570.64,604160927.0,17.55,12.14
2024-08-21,5620.85,551313801.0,16.27,12.56
2024-08-20,5597.12,555036893.0,15.88,11.75
2024-08-19,5608.25,584669671.0,14.65,10.86
2024-08-16,5554.25,685911081.0,14.8,10.62
2024-08-15,5543.22,760461293.0,15.23,12.22
2024-08-14,5455.21,634993809.0,16.19,14.33
2024-08-13,5434.43,733150086.0,18.12,18.54
2024-08-12,5344.39,614961012.0,20.71,23.3
2024-08-09,5344.16,587644391.0,20.37,22.72
2024-08-08,5319.31,768708601.0,23.79,27.94
2024-08-07,5199.5,829447406.0,27.85,32.29
2024-08-06,5240.03,911963161.0,27.71,32.22
2024-08-05,5186.33,1185327743.0,38.57,39.62
2024-08-02,5346.56,1050291112.0,23.39,21.85
2024-08-01,5446.68,927049820.0,18.59,15.7
2024-07-31,5522.3,1066525370.0,16.36,11.9
2024-07-30,5436.44,794010397.0,17.69,14.02
2024-07-29,5463.54,633085826.0,16.6,11.51
2024-07-26,5459.1,695439815.0,16.39,11.77
2024-07-25,5399.22,900999146.0,18.46,15.92
2024-07-24,5427.13,879166403.0,18.04,15.24
2024-07-23,5555.74,625846927.0,14.72,9.2
2024-07-22,5564.41,698844211.0,14.91,8.65
2024-07-19,5505.0,870120592.0,16.52,10.05
2024-07-18,5544.59,764718235.0,15.93,8.47
2024-07-17,5588.27,861198234.0,14.48,7.06
2024-07-16,5667.2,666181189.0,13.19,5.45
2024-07-15,5631.22,625588398.0,13.12,4.81
2024-07-12,5615.35,691051180.0,12.46,2.93
2024-07-11,5584.54,793122397.0,12.92,3.87
2024-07-10,5633.91,641575003.0,12.85,4.12
2024-07-09,5576.98,635909477.0,12.51,4.03
2024-07-08,5572.85,666672110.0,12.37,3.82
2024-07-05,5567.19,680351948.0,12.48,4.06
2024-07-03,5537.02,436395523.0,12.09,4.46
2024-07-02,5509.01,668476308.0,12.03,4.97
2024-07-01,5475.09,646243569.0,12.22,5.13
2024-06-28,5460.48,1646592214.0,12.44,5.59
2024-06-27,5482.87,706742162.0,12.24,5.88
2024-06-26,5477.9,716649179.0,12.55,6.83
2024-06-25,5469.3,787056702.0,12.84,7.96
2024-06-24,5447.87,799136296.0,13.33,8.48
2024-06-21,5464.62,2675987960.0,13.2,7.92
2024-06-20,5473.17,860912027.0,13.28,8.62
2024-06-18,5487.03,734928431.0,12.3,8.71
2024-06-17,5473.23,688383951.0,12.75,9.32
2024-06-14,5431.6,606994927.0,12.66,9.41
2024-06-13,5433.74,671145248.0,11.94,8.89
2024-06-12,5421.03,734659391.0,12.04,10.91
2024-06-11,5375.32,653634346.0,12.85,15.13
2024-06-10,5360.79,691543731.0,12.74,14.25
2024-06-07,5346.99,540912878.0,12.22,11.56
2024-06-06,5352.96,580519835.0,12.58,12.06
2024-06-05,5354.03,627194046.0,12.63,12.94
2024-06-04,5291.34,622296533.0,13.16,15.6
2024-06-03,5283.4,650014913.0,13.11,13.92
2024-05-31,5277.51,1677911714.0,12.92,12.59
2024-05-30,5235.48,633456556.0,14.47,15.71
2024-05-29,5266.95,648849760.0,14.28,15.24
2024-05-28,5306.04,632325203.0,12.92,11.71
2024-05-24,5304.72,518297234.0,11.93,12.73
2024-05-23,5267.84,642324642.0,12.77,14.47
2024-05-22,5307.01,607871288.0,12.29,12.1
2024-05-21,5321.41,560156939.0,11.86,11.43
2024-05-20,5308.13,511836196.0,12.15,12.27
2024-05-17,5303.27,633106828.0,11.99,11.45
2024-05-16,5297.1,657478316.0,12.42,12.14
2024-05-15,5308.15,676790031.0,12.45,12.59
2024-05-14,5246.68,591140913.0,13.42,16.37
2024-05-13,5221.42,567632226.0,13.6,16.83
2024-05-10,5222.68,552478490.0,12.55,12.89
2024-05-09,5214.08,569494678.0,12.69,13.41
2024-05-08,5187.67,623149630.0,13.0,14.24
2024-05-07,5187.7,649506675.0,13.23,14.75
2024-05-06,5180.74,631250257.0,13.49,14.7
2024-05-03,5127.79,701689993.0,13.49,14.61
2024-05-02,5064.2,739935801.0,14.68,16.34
2024-05-01,5018.39,809021347.0,15.39,17.46
2024-04-30,5035.69,910318928.0,15.65,14.16
2024-04-29,5116.17,663462702.0,14.67,11.32
2024-04-26,5099.96,686360905.0,15.03,12.83
2024-04-25,5048.42,773674502.0,15.37,11.17
2024-04-24,5071.63,720425246.0,15.97,13.05
2024-04-23,5070.55,652109640.0,15.69,13.04
2024-04-22,5010.6,661810027.0,16.94,15.37
2024-04-19,4967.23,865016383.0,18.71,18.79
2024-04-18,5011.12,610415260.0,18.0,18.66
2024-04-17,5022.21,625572020.0,18.21,19.58
2024-04-16,5051.41,629798982.0,18.4,20.11
2024-04-15,5061.82,685496598.0,19.23,21.1
2024-04-12,5123.41,664864391.0,17.31,15.88
2024-04-11,5199.06,642480433.0,14.91,12.66
2024-04-10,5160.64,645445357.0,15.8,15.13
2024-04-09,5209.91,567518803.0,14.98,13.32
2024-04-08,5202.39,559026792.0,15.19,12.89
2024-04-05,5204.34,613619466.0,16.03,14.56
2024-04-04,5147.21,717795894.0,16.35,14.83
2024-04-03,5211.49,658241573.0,14.33,11.96
2024-04-02,5205.81,731371246.0,14.61,11.87
2024-04-01,5243.77,561031961.0,13.65,9.7
2024-03-28,5254.35,787104098.0,13.01,9.38
2024-03-27,5248.49,648229648.0,12.78,9.01
2024-03-26,5203.58,670805580.0,13.24,9.43
2024-03-25,5218.19,603327469.0,13.19,9.55
2024-03-22,5234.18,588747926.0,13.06,11.06
2024-03-21,5241.53,718142030.0,12.92,12.38
2024-03-20,5224.62,658696240.0,13.04,15.85
2024-03-19,5178.51,742925252.0,13.82,16.92
2024-03-18,5149.42,784047674.0,14.33,15.15
2024-03-15,5117.09,2699996659.0,14.41,14.38
2024-03-14,5150.48,830838311.0,14.4,13.68
2024-03-13,5165.31,762052392.0,13.75,11.33
2024-03-12,5175.27,638546850.0,13.84,11.72
2024-03-11,5117.94,603068481.0,15.22,15.89
2024-03-08,5123.69,678455576.0,14.74,12.62
2024-03-07,5157.36,659799460.0,14.44,12.45
2024-03-06,5104.76,700289090.0,14.5,14.67
2024-03-05,5078.65,743286484.0,14.46,14.65
2024-03-04,5130.95,751185450.0,13.49,13.42
2024-03-01,5137.08,687218784.0,13.11,13.98
2024-02-29,5096.27,1285581876.0,13.4,15.83
2024-02-28,5069.76,564440544.0,13.84,16.21
2024-02-27,5078.18,574728854.0,13.43,15.52
2024-02-26,5069.53,623644768.0,13.74,16.12
2024-02-23,5088.8,633418439.0,13.75,16.15
2024-02-22,5087.03,728724112.0,14.54,18.05
2024-02-21,4981.8,618518026.0,15.34,17.41
2024-02-20,4975.51,696451427.0,15.42,17.18
2024-02-16,5005.57,683361708.0,14.24,13.3
2024-02-15,5029.73,668366860.0,14.01,13.2
2024-02-14,5000.62,644907004.0,14.38,14.16
2024-02-13,4953.17,689444106.0,15.85,15.51
2024-02-12,5021.84,600435425.0,13.93,14.54
2024-02-09,5026.61,633865687.0,12.93,13.8
2024-02-08,4997.91,641191844.0,12.79,14.25
2024-02-07,4995.06,693459419.0,12.83,15.08
2024-02-06,4954.23,636054578.0,13.06,14.72
2024-02-05,4942.81,699814958.0,13.67,13.93
2024-02-02,4958.61,742829415.0,13.85,16.43
2024-02-01,4906.19,720837864.0,13.88,13.99
2024-01-31,4845.65,1075732775.0,14.35,15.31
2024-01-30,4924.97,648024028.0,13.31,10.3
2024-01-29,4927.93,629745728.0,13.6,11.39
2024-01-26,4890.97,623980996.0,13.26,10.69
2024-01-25,4894.16,749967986.0,13.45,10.78
2024-01-24,4868.55,682971998.0,13.14,10.69
2024-01-23,4864.6,596555898.0,12.55,10.22
2024-01-22,4850.43,701376031.0,13.19,10.82
2024-01-19,4839.81,840591395.0,13.3,12.03
2024-01-18,4780.94,690191784.0,14.13,14.2
2024-01-17,4739.21,600707347.0,14.79,15.84
2024-01-16,4765.98,709069725.0,13.84,14.04
2024-01-12,4783.83,588398855.0,12.7,11.35
2024-01-11,4780.24,639362905.0,12.44,10.9
2024-01-10,4783.45,594304429.0,12.69,12.06
2024-01-09,4756.5,627224821.0,12.76,12.45
2024-01-08,4763.54,699080100.0,13.08,13.1
2024-01-05,4697.24,650594292.0,13.35,14.43
2024-01-04,4688.68,693014905.0,14.13,15.89
2024-01-03,4704.81,696024599.0,14.04,15.93
2024-01-02,4742.83,707023582.0,13.2,13.88
2023-12-29,4769.83,551130242.0,12.45,14.24
2023-12-28,4783.35,412883803.0,12.47,15.15
2023-12-27,4781.58,477164240.0,12.43,15.9
2023-12-26,4774.75,383600823.0,12.99,17.85
2023-12-22,4754.63,478035162.0,13.03,20.48
2023-12-21,4746.75,598987758.0,13.65,21.15
2023-12-20,4698.35,740948509.0,13.67,21.54
2023-12-19,4768.37,683293471.0,12.53,20.48
2023-12-18,4740.56,704963485.0,12.56,19.43
2023-12-15,4719.19,2527894869.0,12.28,18.03
2023-12-14,4719.55,1051807579.0,12.48,16.96
2023-12-13,4707.09,822110084.0,12.19,20.1
2023-12-12,4643.7,641078562.0,12.07,20.19
2023-12-11,4622.44,710937555.0,12.63,21.48
2023-12-08,4604.37,650108320.0,12.35,21.72
2023-12-07,4585.59,654683633.0,13.06,23.74
2023-12-06,4549.34,642728555.0,12.97,24.33
2023-12-05,4567.18,636082851.0,12.85,22.91
2023-12-04,4569.78,709338112.0,13.08,22.94
2023-12-01,4594.63,685637998.0,12.63,23.81
2023-11-30,4567.8,1436340554.0,12.92,23.91
2023-11-29,4550.58,614760148.0,12.98,23.4
2023-11-28,4554.89,581626011.0,12.69,22.04
2023-11-27,4550.43,571787308.0,12.69,21.09
2023-11-24,4559.34,245075445.0,12.46,20.13
2023-11-22,4556.62,494987908.0,12.85,22.41
2023-11-21,4538.19,535650418.0,13.35,20.36
2023-11-20,4547.38,616318672.0,13.41,19.62
2023-11-17,4514.02,698733690.0,13.8,18.91
2023-11-16,4508.24,663470192.0,14.32,19.6
2023-11-15,4502.88,698146847.0,14.18,21.44
2023-11-14,4495.7,726733609.0,14.16,21.67
2023-11-13,4411.55,521106319.0,14.76,23.83
2023-11-10,4415.24,633584199.0,14.17,20.38
2023-11-09,4347.35,643214618.0,15.29,24.38
2023-11-08,4382.78,630146615.0,14.45,23.43
2023-11-07,4378.38,627378808.0,14.81,24.97
2023-11-06,4365.98,600478338.0,14.89,24.42
2023-11-03,4358.34,710334973.0,14.91,24.31
2023-11-02,4317.78,768438594.0,15.66,25.2
2023-11-01,4237.86,776970113.0,16.87,28.46
2023-10-31,4193.8,790575673.0,18.14,30.27
2023-10-30,4166.82,657366692.0,19.75,32.23
2023-10-27,4117.37,731596656.0,21.27,34.46
2023-10-26,4137.23,799202538.0,20.68,29.06
2023-10-25,4186.77,722041201.0,20.19,28.95
2023-10-24,4247.68,636529260.0,18.97,24.21
2023-10-23,4217.04,622435533.0,20.37,27.07
