Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
10/03/2025,27.52,3.43,14.23827314,26.68,2.59,10.75134911,28.96,4.87,20.2158572,24.94,0.85,3.528435035
07/03/2025,24.09,-0.78,-3.136308806,25.62,0.75,3.015681544,27.59,2.72,10.93687173,12.31,-12.56,-50.50261359
06/03/2025,24.87,3.09,14.18732782,24.01,2.23,10.23875115,26.62,4.84,22.22222222,23.17,1.39,6.382001837
05/03/2025,21.78,-0.24,-1.089918256,22.99,0.97,4.405086285,24.23,2.21,10.03633061,20.78,-1.24,-5.631244323
04/03/2025,22.02,0.29,1.334560515,23.27,1.54,7.08697653,25.28,3.55,16.33686148,20.18,-1.55,-7.132995858
03/03/2025,21.73,3.25,17.58658009,18.2,-0.28,-1.515151515,23.42,4.94,26.73160173,8.28,-10.2,-55.19480519
28/02/2025,18.48,-1.59,-7.922272048,20.36,0.29,1.444942701,21.79,1.72,8.570004983,17.7,-2.37,-11.80866966
27/02/2025,20.07,3.68,22.45271507,16.56,0.17,1.037217816,20.33,3.94,24.0390482,16.42,0.03,0.183038438
26/02/2025,16.39,0.36,2.245789145,16.03,0,0,17.33,1.3,8.109794136,14.95,-1.08,-6.737367436
25/02/2025,16.03,0.42,2.69058296,16.24,0.63,4.035874439,18.39,2.78,17.80909673,15.61,0,0
24/02/2025,15.61,0.78,5.259608901,14.67,-0.16,-1.078894134,16.67,1.84,12.40728254,14.26,-0.57,-3.843560351
21/02/2025,14.83,2.46,19.88682296,12.55,0.18,1.455133387,15.36,2.99,24.17138238,12.44,0.07,0.565885206
20/02/2025,12.37,0.3,2.485501243,12.22,0.15,1.242750621,13.46,1.39,11.51615576,11.89,-0.18,-1.491300746
19/02/2025,12.07,0.22,1.856540084,12.43,0.58,4.894514768,12.66,0.81,6.835443038,11.67,-0.18,-1.518987342
18/02/2025,11.85,-0.28,-2.308326463,12.15,0.02,0.164880462,12.58,0.45,3.709810387,11.85,-0.28,-2.308326463
14/02/2025,12.13,0.07,0.580431177,12.15,0.09,0.746268657,12.61,0.55,4.56053068,11.78,-0.28,-2.32172471
13/02/2025,12.06,-1.29,-9.662921348,13.32,-0.03,-0.224719101,13.65,0.3,2.247191011,11.96,-1.39,-10.41198502
12/02/2025,13.35,-0.02,-0.149588631,14.56,1.19,8.90052356,14.67,1.3,9.723261032,13.23,-0.14,-1.047120419
11/02/2025,13.37,0.19,1.441578149,13.48,0.3,2.276176024,13.59,0.41,3.1107739,12.87,-0.31,-2.352048558
10/02/2025,13.18,-0.3,-2.225519288,13,-0.48,-3.560830861,13.68,0.2,1.483679525,12.94,-0.54,-4.005934718
07/02/2025,13.48,0.79,6.22537431,12.42,-0.27,-2.127659574,14.66,1.97,15.52403467,9.31,-3.38,-26.63514578
06/02/2025,12.69,0.44,3.591836735,12.1,-0.15,-1.224489796,13.37,1.12,9.142857143,12.09,-0.16,-1.306122449
05/02/2025,12.25,-1.52,-11.03848947,13.47,-0.3,-2.178649237,14.36,0.59,4.284676834,12.25,-1.52,-11.03848947
