Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
06/03/2025,5738.52,-104.11,-1.781903013,5785.87,-56.76,-0.971480309,5812.08,-30.55,-0.522880963,5711.64,-130.99,-2.241969798
05/03/2025,5842.63,64.48,1.115928108,5781.36,3.21,0.055554113,5860.59,82.44,1.426754238,5742.35,-35.8,-0.61957547
04/03/2025,5778.15,-71.57,-1.223477363,5811.98,-37.74,-0.645159085,5865.08,15.36,0.26257667,5732.59,-117.13,-2.00231806
03/03/2025,5849.72,-104.78,-1.759677555,5968.33,13.83,0.232261315,5986.09,31.59,0.530523134,5810.91,-143.59,-2.411453523
28/02/2025,5954.5,92.93,1.585411417,5856.74,-4.83,-0.082401131,5959.4,97.83,1.669006768,5837.66,-23.91,-0.407911191
27/02/2025,5861.57,-94.49,-1.586451446,5981.88,25.82,0.433508057,5993.69,37.63,0.631793501,5858.78,-97.28,-1.633294493
26/02/2025,5956.06,0.81,0.013601444,5970.87,15.62,0.262289576,6009.82,54.57,0.916334327,5932.69,-22.56,-0.378825406
25/02/2025,5955.25,-28,-0.467973092,5982.73,-0.52,-0.008690929,5992.65,9.4,0.157105252,5908.49,-74.76,-1.249488154
24/02/2025,5983.25,-29.88,-0.49691259,6026.69,13.56,0.225506517,6043.65,30.52,0.507555965,5977.83,-35.3,-0.587048675
21/02/2025,6013.13,-104.39,-1.706410441,6114.1,-3.42,-0.055905007,6114.82,-2.7,-0.044135532,6008.56,-108.96,-1.781113915
20/02/2025,6117.52,-26.63,-0.433420408,6134.5,-9.65,-0.157059968,6134.5,-9.65,-0.157059968,6084.59,-59.56,-0.969377375
19/02/2025,6144.15,14.57,0.23769981,6117.76,-11.82,-0.192835398,6147.43,17.85,0.291210817,6111.15,-18.43,-0.300673129
18/02/2025,6129.58,14.95,0.244495579,6121.6,6.97,0.113988909,6129.63,15,0.24531329,6099.51,-15.12,-0.247275796
14/02/2025,6114.63,-0.44,-0.007195339,6115.52,0.45,0.007358869,6127.47,12.4,0.202777728,6107.62,-7.45,-0.121830167
13/02/2025,6115.07,63.1,1.042635704,6060.59,8.62,0.14243296,6116.91,64.94,1.073039027,6050.95,-1.02,-0.016854016
12/02/2025,6051.97,-16.53,-0.272390212,6025.08,-43.42,-0.715498064,6063,-5.5,-0.090631952,6003,-65.5,-1.079344154
11/02/2025,6068.5,2.06,0.033957313,6049.32,-17.12,-0.282208346,6076.28,9.84,0.162203863,6042.34,-24.1,-0.39726759
10/02/2025,6066.44,40.45,0.671258996,6046.4,20.41,0.338699533,6073.38,47.39,0.786426795,6044.84,18.85,0.312811671
07/02/2025,6025.99,-57.58,-0.946483726,6083.13,-0.44,-0.007232595,6101.28,17.71,0.291111962,6019.96,-63.61,-1.045603157
06/02/2025,6083.57,22.09,0.364432449,6072.22,10.74,0.17718445,6084.03,22.55,0.372021355,6046.83,-14.65,-0.241690148
05/02/2025,6061.48,23.6,0.390865668,6020.45,-17.43,-0.288677483,6062.86,24.98,0.413721372,6007.06,-30.82,-0.510444063
04/02/2025,6037.88,43.31,0.722487184,5998.14,3.57,0.059553896,6042.48,47.91,0.799223297,5990.87,-3.7,-0.061722526
03/02/2025,5994.57,-45.96,-0.760860388,5969.65,-70.88,-1.173406969,6022.13,-18.4,-0.304609033,5923.93,-116.6,-1.930294196
31/01/2025,6040.53,-30.64,-0.504680317,6096.79,25.62,0.421994443,6120.91,49.74,0.819281951,6030.93,-40.24,-0.662804698
30/01/2025,6071.17,31.86,0.527543709,6050.75,11.44,0.189425613,6086.64,47.33,0.7836988,6027.46,-11.85,-0.196214468
29/01/2025,6039.31,-28.39,-0.467887338,6057.7,-10,-0.164807093,6062.83,-4.87,-0.080261054,6012.96,-54.74,-0.902154029
