Date,PX_LAST,PX_VOLUME
10/03/2025,5614.56,1154868778
07/03/2025,5770.2,978947144
06/03/2025,5738.52,935953630
05/03/2025,5842.63,885233027
04/03/2025,5778.15,1132335783
03/03/2025,5849.72,1001788828
28/02/2025,5954.5,1534550840
27/02/2025,5861.57,890166940
26/02/2025,5956.06,779258458
25/02/2025,5955.25,906140612
24/02/2025,5983.25,891522943
21/02/2025,6013.13,976414806
20/02/2025,6117.52,775649279
19/02/2025,6144.15,779152355
18/02/2025,6129.58,862946363
14/02/2025,6114.63,762957211
13/02/2025,6115.07,795667095
12/02/2025,6051.97,777298820
11/02/2025,6068.5,709504051
10/02/2025,6066.44,755272156
07/02/2025,6025.99,744937548
06/02/2025,6083.57,815821898
05/02/2025,6061.48,861579324
04/02/2025,6037.88,824283295
03/02/2025,5994.57,881205887
31/01/2025,6040.53,1062709425
30/01/2025,6071.17,807684024
29/01/2025,6039.31,730161367
28/01/2025,6067.7,913134764
27/01/2025,6012.28,1155652701
24/01/2025,6101.24,701415764
23/01/2025,6118.71,652313300
22/01/2025,6086.37,776506839
21/01/2025,6049.24,872632516
17/01/2025,5996.66,1038376218
16/01/2025,5937.34,688089761
15/01/2025,5949.91,796226409
14/01/2025,5842.91,681745619
13/01/2025,5836.22,774871838
10/01/2025,5827.04,857104247
08/01/2025,5918.25,727874346
07/01/2025,5909.03,766955250
06/01/2025,5975.38,788085038
03/01/2025,5942.47,613673141
02/01/2025,5868.55,619827943
31/12/2024,5881.63,572261478
30/12/2024,5906.94,576929037
27/12/2024,5970.84,584265430
26/12/2024,6037.59,438611805
24/12/2024,6040.04,329662275
23/12/2024,5974.07,690933980
20/12/2024,5930.85,3034387295
19/12/2024,5867.08,966551863
18/12/2024,5872.16,1043959243
17/12/2024,6050.61,935360900
16/12/2024,6074.08,911382911
13/12/2024,6051.09,691898265
12/12/2024,6051.25,669691594
11/12/2024,6084.19,842097625
10/12/2024,6034.91,789557678
09/12/2024,6052.85,798756208
06/12/2024,6090.27,707288187
05/12/2024,6075.11,735110292
04/12/2024,6086.49,731646430
03/12/2024,6049.88,726080415
02/12/2024,6047.15,765575016
29/11/2024,6032.38,467848822
27/11/2024,5998.74,628434018
26/11/2024,6021.63,679892134
25/11/2024,5987.37,1546546652
22/11/2024,5969.34,676068175
21/11/2024,5948.71,744444386
20/11/2024,5917.11,697028512
19/11/2024,5916.98,720146144
18/11/2024,5893.62,755979873
15/11/2024,5870.62,963460879
14/11/2024,5949.17,703353805
13/11/2024,5985.38,703564654
12/11/2024,5983.99,709651946
11/11/2024,6001.35,706424011
08/11/2024,5995.54,763150574
07/11/2024,5973.1,847614740
06/11/2024,5929.04,1103819392
05/11/2024,5782.76,635417134
04/11/2024,5712.69,666460983
01/11/2024,5728.8,703619861
31/10/2024,5705.45,1020509730
30/10/2024,5813.67,806219575
29/10/2024,5832.92,675727611
28/10/2024,5823.52,595852293
25/10/2024,5808.12,627216172
24/10/2024,5809.86,650947189
23/10/2024,5797.42,650565591
22/10/2024,5851.2,601620948
21/10/2024,5853.98,589025601
18/10/2024,5864.67,702023493
17/10/2024,5841.47,647571141
16/10/2024,5842.47,620797852
15/10/2024,5815.26,787858699
14/10/2024,5859.85,549262136
11/10/2024,5815.03,605684238
10/10/2024,5780.05,562858168
09/10/2024,5792.04,613680656
08/10/2024,5751.13,611810958
07/10/2024,5695.94,645340786
04/10/2024,5751.07,601098252
03/10/2024,5699.94,613910043
02/10/2024,5709.54,616359349
01/10/2024,5708.75,739347969
30/09/2024,5762.48,882426660
27/09/2024,5738.17,662752996
26/09/2024,5745.37,764248641
25/09/2024,5722.26,697400878
24/09/2024,5732.93,773105011
23/09/2024,5718.57,748070094
20/09/2024,5702.55,2834896116
19/09/2024,5713.64,841530507
18/09/2024,5618.26,696088958
17/09/2024,5634.58,620476005
16/09/2024,5633.09,597981853
13/09/2024,5626.02,575281052
12/09/2024,5595.76,694797208
11/09/2024,5554.13,781216307
10/09/2024,5495.52,666298334
09/09/2024,5471.05,728471856
06/09/2024,5408.42,822499789
05/09/2024,5503.41,659571094
04/09/2024,5520.07,701149272
03/09/2024,5528.93,850990993
30/08/2024,5648.4,1028584944
29/08/2024,5591.96,617833262
28/08/2024,5592.18,594378722
27/08/2024,5625.8,529462345
26/08/2024,5616.84,532657706
23/08/2024,5634.61,613113093
22/08/2024,5570.64,604160927
21/08/2024,5620.85,551313801
20/08/2024,5597.12,555036893
19/08/2024,5608.25,584669671
16/08/2024,5554.25,685911081
15/08/2024,5543.22,760461293
14/08/2024,5455.21,634993809
13/08/2024,5434.43,733150086
12/08/2024,5344.39,614961012
09/08/2024,5344.16,587644391
08/08/2024,5319.31,768708601
07/08/2024,5199.5,829447406
06/08/2024,5240.03,911963161
05/08/2024,5186.33,1185327743
02/08/2024,5346.56,1050291112
01/08/2024,5446.68,927049820
31/07/2024,5522.3,1066525370
30/07/2024,5436.44,794010397
29/07/2024,5463.54,633085826
26/07/2024,5459.1,695439815
25/07/2024,5399.22,900999146
24/07/2024,5427.13,879166403
23/07/2024,5555.74,625846927
22/07/2024,5564.41,698844211
19/07/2024,5505,870120592
18/07/2024,5544.59,764718235
17/07/2024,5588.27,861198234
16/07/2024,5667.2,666181189
15/07/2024,5631.22,625588398
12/07/2024,5615.35,691051180
11/07/2024,5584.54,793122397
10/07/2024,5633.91,641575003
09/07/2024,5576.98,635909477
08/07/2024,5572.85,666672110
05/07/2024,5567.19,680351948
03/07/2024,5537.02,436395523
02/07/2024,5509.01,668476308
01/07/2024,5475.09,646243569
28/06/2024,5460.48,1646592214
