Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
11/03/2025,26.92,-0.94,-3.374012922,27.94,0.08,0.287150036,29.57,1.71,6.137832017,26.18,-1.68,-6.030150754
10/03/2025,27.86,4.49,19.21266581,24.7,1.33,5.691056911,29.56,6.19,26.48694908,24.68,1.31,5.605477107
07/03/2025,23.37,-1.5,-6.031363088,24.85,-0.02,-0.080418175,26.56,1.69,6.795335746,23.09,-1.78,-7.157217531
06/03/2025,24.87,2.94,13.40629275,22.6,0.67,3.055175559,25.92,3.99,18.19425445,22.39,0.46,2.097583219
05/03/2025,21.93,-1.58,-6.720544449,23.03,-0.48,-2.04168439,24.84,1.33,5.657167163,21.37,-2.14,-9.10250957
04/03/2025,23.51,0.73,3.204565408,22.96,0.18,0.790166813,26.35,3.57,15.67164179,21.71,-1.07,-4.697102722
03/03/2025,22.78,3.15,16.04686704,19.83,0.2,1.018848701,24.31,4.68,23.8410596,19.25,-0.38,-1.935812532
28/02/2025,19.63,-1.5,-7.0989115,21.21,0.08,0.378608613,22.4,1.27,6.010411737,19.05,-2.08,-9.843823947
27/02/2025,21.13,2.03,10.62827225,18.25,-0.85,-4.45026178,21.47,2.37,12.40837696,17.67,-1.43,-7.486910995
26/02/2025,19.1,-0.33,-1.698404529,18.96,-0.47,-2.418939784,20.06,0.63,3.242408646,17.83,-1.6,-8.234688626
25/02/2025,19.43,0.45,2.370916754,19.09,0.11,0.579557429,21.48,2.5,13.17175975,18.85,-0.13,-0.684931507
24/02/2025,18.98,0.77,4.228445909,18.08,-0.13,-0.713893465,20.24,2.03,11.14772103,17.31,-0.9,-4.942339374
21/02/2025,18.21,2.55,16.2835249,15.63,-0.03,-0.191570881,19.03,3.37,21.51979566,15.28,-0.38,-2.426564496
20/02/2025,15.66,0.39,2.554027505,15.61,0.34,2.226588081,16.63,1.36,8.906352325,15.12,-0.15,-0.982318271
19/02/2025,15.27,-0.08,-0.521172638,15.14,-0.21,-1.368078176,15.96,0.61,3.973941368,15.05,-0.3,-1.954397394
18/02/2025,15.35,-0.02,-0.130123617,15.57,0.2,1.301236174,16.03,0.66,4.294079375,15.35,-0.02,-0.130123617
17/02/2025,15.37,0.6,4.062288422,15.38,0.61,4.12999323,15.57,0.8,5.416384563,15.34,0.57,3.859174001
14/02/2025,14.77,-0.33,-2.185430464,15.08,-0.02,-0.132450331,15.42,0.32,2.119205298,14.74,-0.36,-2.38410596
13/02/2025,15.1,-0.79,-4.971680302,15.97,0.08,0.503461296,16.33,0.44,2.76903713,14.98,-0.91,-5.726872247
12/02/2025,15.89,-0.13,-0.811485643,15.91,-0.11,-0.686641698,17.18,1.16,7.240948814,15.64,-0.38,-2.372034956
11/02/2025,16.02,0.21,1.328273245,16.13,0.32,2.024035421,16.42,0.61,3.858317521,15.75,-0.06,-0.379506641
10/02/2025,15.81,-0.73,-4.413542926,16.58,0.04,0.241837969,16.61,0.07,0.423216445,15.7,-0.84,-5.07859734
07/02/2025,16.54,1.04,6.709677419,15.38,-0.12,-0.774193548,16.66,1.16,7.483870968,14.79,-0.71,-4.580645161
06/02/2025,15.5,-0.27,-1.712111604,15.88,0.11,0.69752695,16.15,0.38,2.409638554,14.99,-0.78,-4.94610019
05/02/2025,15.77,-1.44,-8.367228356,17.54,0.33,1.917489831,17.75,0.54,3.137710633,15.77,-1.44,-8.367228356
04/02/2025,17.21,-1.41,-7.572502685,18.78,0.16,0.859291085,19.11,0.49,2.631578947,16.78,-1.84,-9.881847476
03/02/2025,18.62,2.19,13.32927572,20.36,3.93,23.91965916,20.42,3.99,24.2848448,17.66,1.23,7.486305539
31/01/2025,16.43,0.59,3.724747475,15.45,-0.39,-2.462121212,17.09,1.25,7.891414141,14.9,-0.94,-5.934343434
30/01/2025,15.84,-0.72,-4.347826087,15.93,-0.63,-3.804347826,16.42,-0.14,-0.845410628,15.32,-1.24,-7.487922705
29/01/2025,16.56,0.15,0.914076782,16.42,0.01,0.060938452,18.08,1.67,10.17672151,16.17,-0.24,-1.462522852
28/01/2025,16.41,-1.49,-8.324022346,18.29,0.39,2.17877095,18.39,0.49,2.737430168,16.25,-1.65,-9.217877095
27/01/2025,17.9,3.05,20.53872054,18.83,3.98,26.8013468,22.51,7.66,51.58249158,17.57,2.72,18.31649832
24/01/2025,14.85,-0.17,-1.131824234,15.02,0,0,15.16,0.14,0.932090546,14.58,-0.44,-2.92942743
23/01/2025,15.02,-0.08,-0.529801325,15.28,0.18,1.19205298,15.39,0.29,1.920529801,14.59,-0.51,-3.377483444
22/01/2025,15.1,0.04,0.26560425,14.89,-0.17,-1.128818061,15.29,0.23,1.527224436,14.59,-0.47,-3.120849934
21/01/2025,15.06,-0.75,-4.743833017,16.29,0.48,3.036053131,16.29,0.48,3.036053131,14.93,-0.88,-5.566097407
20/01/2025,15.81,-0.16,-1.001878522,16.46,0.49,3.068252974,16.59,0.62,3.882279274,15.8,-0.17,-1.06449593
17/01/2025,15.97,-0.63,-3.795180723,16.19,-0.41,-2.469879518,16.23,-0.37,-2.228915663,15.53,-1.07,-6.445783133
16/01/2025,16.6,0.48,2.977667494,15.87,-0.25,-1.550868486,16.6,0.48,2.977667494,15.64,-0.48,-2.977667494
15/01/2025,16.12,-2.59,-13.84286478,19.08,0.37,1.977552111,19.14,0.43,2.298236237,15.96,-2.75,-14.69802245
14/01/2025,18.71,-0.48,-2.501302762,18.79,-0.4,-2.084418968,19.66,0.47,2.449192288,18.24,-0.95,-4.95049505
13/01/2025,19.19,-0.35,-1.791197544,21.18,1.64,8.393039918,22.04,2.5,12.79426817,19.15,-0.39,-1.995905834
10/01/2025,19.54,1.47,8.135030437,18.29,0.22,1.217487548,20.31,2.24,12.39623686,18.05,-0.02,-0.110680686
09/01/2025,18.07,0.37,2.09039548,18.51,0.81,4.576271186,18.52,0.82,4.632768362,17.95,0.25,1.412429379
08/01/2025,17.7,-0.12,-0.673400673,17.91,0.09,0.505050505,19.5,1.68,9.427609428,17.37,-0.45,-2.525252525
07/01/2025,17.82,1.78,11.09725686,16.48,0.44,2.743142145,18.9,2.86,17.83042394,15.79,-0.25,-1.558603491
06/01/2025,16.04,-0.09,-0.557966522,16.77,0.64,3.967761934,16.87,0.74,4.587724737,15.71,-0.42,-2.603843769
03/01/2025,16.13,-1.8,-10.03904071,17.66,-0.27,-1.505856107,17.94,0.01,0.055772448,16.11,-1.82,-10.15058561
02/01/2025,17.93,0.58,3.342939481,17.21,-0.14,-0.806916427,19.5,2.15,12.39193084,16.96,-0.39,-2.247838617
31/12/2024,17.35,-0.05,-0.287356322,17.39,-0.01,-0.057471264,17.81,0.41,2.356321839,16.68,-0.72,-4.137931034
